cik,name,ticker,exchange,market_cap
748268,"Red Cat Holdings, Inc.",RCAT,Nasdaq,1315814016.0
1688757,ESTABLISHMENT LABS HOLDINGS INC.,ESTA,Nasdaq,1421883776.0
1625101,"PULSE BIOSCIENCES, INC.",PLSE,Nasdaq,1216372480.0
42682,GORMAN RUPP CO,GRC,NYSE,1225389056.0
731012,HEALTHCARE SERVICES GROUP INC,HCSG,Nasdaq,1338911360.0
3499,ALEXANDERS INC,ALX,NYSE,1197863808.0
1293135,VERMILION ENERGY INC.,VET,NYSE,1167461120.0
1794350,Yalla Group Ltd,YALA,NYSE,1143710336.0
1610601,Hello Group Inc.,MOMO,Nasdaq,1098547456.0
1622629,Southern Cross Gold Consolidated Ltd.,SXGCF,OTC,1495023360.0
1746109,Bank First Corp,BFC,Nasdaq,1292198400.0
58492,LEGGETT & PLATT INC,LEG,NYSE,1234400896.0
1443669,Proto Labs Inc,PRLB,NYSE,1304516608.0
1781753,"Youdao, Inc.",DAO,NYSE,1311674624.0
1222922,Eaton Vance Ltd Duration Income Fund,EVV,NYSE,1172492928.0
834365,BIOLIFE SOLUTIONS INC,BLFS,Nasdaq,1379192576.0
1725255,AdaptHealth Corp.,AHCO,Nasdaq,1267740032.0
1576427,Criteo S.A.,CRTO,Nasdaq,1074280704.0
1823652,"Eve Holding, Inc.",EVEX,NYSE,1332906880.0
1567569,First Trust Intermediate Duration Preferred & Income Fund,FPF,NYSE,1151849344.0
944809,"OPKO HEALTH, INC.",OPK,Nasdaq,1190674176.0
876523,EZCORP INC,EZPW,Nasdaq,1105873792.0
2074220,Catapult Group International Ltd,CAZGF,OTC,1457449472.0
1578732,"Marcus & Millichap, Inc.",MMI,NYSE,1223725056.0
1622194,"Easterly Government Properties, Inc.",DEA,NYSE,1142259072.0
1831907,LuxExperience B.V.,LUXE,NYSE,1253279360.0
710752,SABINE ROYALTY TRUST,SBR,NYSE,1015014016.0
1362468,Allegiant Travel CO,ALGT,Nasdaq,1220470656.0
1414932,Oaktree Specialty Lending Corp,OCSL,Nasdaq,1235839872.0
1408100,"Kennedy-Wilson Holdings, Inc.",KW,NYSE,1118367232.0
1094366,RADWARE LTD,RDWR,Nasdaq,1131193216.0
26058,CTS CORP,CTS,NYSE,1242734976.0
851310,HARMONIC INC.,HLIT,Nasdaq,1188786944.0
902791,BARRETT BUSINESS SERVICES INC,BBSI,Nasdaq,1078961664.0
1739566,"Utz Brands, Inc.",UTZ,NYSE,1074937728.0
1396814,"Pacira BioSciences, Inc.",PCRX,Nasdaq,976837312.0
1656472,Cronos Group Inc.,CRON,Nasdaq,969093056.0
1786108,Trinity Capital Inc.,TRIN,Nasdaq,1049087296.0
1537054,Gogo Inc.,GOGO,Nasdaq,1306104704.0
1793882,Cohen & Steers Tax-Advantaged Preferred Securities & Income Fund,PTA,NYSE,1102152704.0
1029142,DYNAVAX TECHNOLOGIES CORP,DVAX,Nasdaq,1217236480.0
1796280,"Oric Pharmaceuticals, Inc.",ORIC,Nasdaq,1272311168.0
821002,G III APPAREL GROUP LTD /DE/,GIII,Nasdaq,1193009280.0
1995306,SUPER HI INTERNATIONAL HOLDING LTD.,HDL,Nasdaq,1050775232.0
906709,NEKTAR THERAPEUTICS,NKTR,Nasdaq,1143016192.0
1492165,Preferred Bank,PFBC,Nasdaq,1149651072.0
1018164,WILLIS LEASE FINANCE CORP,WLFC,Nasdaq,1005573824.0
1095651,Safehold Inc.,SAFE,NYSE,1129438848.0
2046042,"Jefferson Capital, Inc. / DE",JCAP,Nasdaq,1095989248.0
1756908,PIMCO Dynamic Income Strategy Fund,PDX,NYSE,988470656.0
1278752,MidCap Financial Investment Corp,MFIC,Nasdaq,1138304256.0
1511337,RLJ Lodging Trust,RLJ,NYSE,1051545792.0
1709442,FIRSTSUN CAPITAL BANCORP,FSUN,Nasdaq,1125649408.0
1857816,GigaCloud Technology Inc,GCT,Nasdaq,1067456256.0
1821866,BTQ Technologies Corp.,BTQ,Nasdaq,1260820992.0
1042776,"Piedmont Realty Trust, Inc.",PDM,NYSE,1049569856.0
903129,Gentherm Inc,THRM,Nasdaq,1138588032.0
1430725,"Global Ship Lease, Inc.",GSL,NYSE,1018390464.0
1392972,"PROS Holdings, Inc.",PRO,NYSE,1111758208.0
1842295,"Maze Therapeutics, Inc.",MAZE,Nasdaq,1461056512.0
922864,APARTMENT INVESTMENT & MANAGEMENT CO,AIV,NYSE,815557952.0
1702780,"Altice USA, Inc.",ATUS,NYSE,1021645632.0
2026478,Newsmax Inc.,NMAX,NYSE,971749568.0
1606163,"Limbach Holdings, Inc.",LMB,Nasdaq,1168262272.0
1614178,"Yext, Inc.",YEXT,NYSE,1048745216.0
792987,ASTEC INDUSTRIES INC,ASTE,Nasdaq,1107593472.0
1340677,SILVERCORP METALS INC,SVM,NYSE,1403846528.0
1671858,"ARS Pharmaceuticals, Inc.",SPRY,Nasdaq,900307904.0
